log_feature,metric_feature,fusion_features,label
70820,52000,1.40E+143,[1]
9018,2913,31581995711,
17936,52000,936865.39,[1]
-1,52000,2570075.488,[1]
9015,52000,78264259.3,[0]
19860,52000,2464441.702,[1]
-1,52000,5532174.866,[1]
5401,52000,5654185.144,[1]
-1,52000,2487297.318,[1]
14051,52000,8.83E+148,[1]
26112,52000,482900.882,[1]
26094,-1,,[1]
26147,52000,6.52E+150,[1]
26095,52000,6271820.843,[1]
-1,52000,69495369.15,[1]
26317,52000,67536231.07,[1]
-1,52000,74449956.23,[1]
17359,52000,1.82E+146,[1]
18260,52000,2455913.148,[0]
18779,52000,,[1]
16728,52000,2.37E+149,[1]
-1,52000,74431388.18,[1]
15408,52000,71247629.21,[1]
10749,52000,5069584.539,[1]
-1,2669,39134749995,
18457,2909,24326313803,
-1,52000,919739.7307,[1]
-1,52000,1067428.588,
12720,52000,64729944.25,[1]
19473,52000,5201440.175,[1]
26157,52000,,[1]
22143,52000,72051835.54,[0]
14568,-1,,[1]
8988,2865,20981275488,
-1,2913,30886371907,
243,52000,5703097.627,[1]
-1,52000,963080.5921,
26140,52000,2513328.963,[1]
13064,52000,56081765.04,[1]
-1,3062,37692372194,
16121,52000,2399588.796,[1]
26266,-1,,[1]
19874,52000,7.46E+148,[1]
25961,-1,,[1]
25779,-1,,[1]
12578,52000,60761354.45,[1]
-1,2909,27648096532,
15440,52000,71102704.04,[1]
-1,2621,31031428640,
15502,52000,71368099.02,[1]
26306,52000,58872470.8,[1]
19445,-1,,[1]
26171,-1,,[1]
-1,52000,2384502.662,[1]
18732,52000,58746803.57,[1]
-1,2573,29959080654,
12810,-1,,[1]
-1,52000,63893487.82,[0]
10396,52000,1000172.467,[1]
-1,52000,73439136.4,[1]
10503,52000,5242638.092,[0]
-1,52000,64424670.48,[1]
-1,2563,89733450990,
8993,2821,19164619664,
18909,52000,65028928.59,[1]
17023,2921,17619668253,
16249,52000,1003822.108,[1]
35968,52000,2534276.554,[1]
11269,2934,28188372087,
-1,52000,5122902.144,
13618,52000,73516577.22,[1]
16944,52000,64148606.95,
11097,52000,1.21E+145,[1]
-1,52000,1022032.485,[1]
-1,52000,2473339.933,[1]
26062,-1,,[1]
-1,52000,76143187.65,[1]
-1,2677,40933476328,
22057,52000,59611819.62,[1]
28572,-1,,[1]
-1,52000,77278855.79,[1]
9022,2801,24341461133,
10816,-1,,[1]
11952,52000,459492.0777,[1]
-1,3058,35253235605,
25822,-1,,[1]
-1,2845,35334474293,
52640,52000,2447804.01,[1]
10722,52000,75178168.24,[1]
15456,-1,,[1]
11896,52000,1020907.083,[1]
13430,52000,907135.1406,[1]
18598,-1,,[1]
26255,52000,2392672.444,[1]
16957,-1,,[1]
-1,2565,36712496749,
40454,52000,58980167.16,[1]
40336,52000,1056769.97,[1]
40019,52000,510539.2354,[1]
29705,-1,,[1]
26123,52000,2661342.576,[1]
-1,52000,58601834.63,
26011,52000,59695058.31,[1]
16987,-1,,[1]
26408,52000,64670225.71,[1]
1,52000,59620580.43,
503,52000,1.46E+149,[1]
13798,2853,47621537987,
15232,52000,63070357.59,[1]
26260,-1,,[1]
11284,52000,2.85E+145,[1]
-1,52000,62510521.2,[1]
-1,52000,5.73E+147,[1]
14386,52000,509824.054,[1]
19703,52000,7.89E+148,[1]
-1,52000,74191628.99,[1]
-1,2866,36889865440,
8986,52000,55593469.78,[1]
484,-1,,[1]
-1,2813,43391683423,
8983,52000,54673641.9,[1]
48427,52000,57656732.82,[1]
12196,52000,5536085.794,[1]
-1,52000,2784445.719,[1]
-1,52000,5338596.784,[1]
9017,52000,2493747.091,
8725,52000,76571050.48,[1]
-1,52000,4923386.491,[1]
13713,2489,25410965052,
-1,2798,41570861119,
-1,52000,1704617.188,[1]
44749,52000,2.08E+147,[1]
14767,52000,68047367.96,[1]
26453,52000,5227814.624,[1]
31895,52000,1.15E+150,[1]
15299,52000,2407944.7,[1]
11266,52000,2447667.103,
-1,52000,5678428.897,[1]
-1,52000,2.92E+149,[1]
17356,52000,1113.481815,[1]
26151,52000,5559763.487,[1]
-1,2829,47807120421,
26093,52000,55220439.2,[1]
-1,52000,64467806.77,[1]
17972,52000,59732240.69,[1]
-1,3142,42492134291,
26402,52000,1033514.671,[1]
8985,2917,19736138782,
52682,52000,1109.01291,[1]
26250,52000,67697160.6,[1]
19221,52000,4.44E+145,[1]
-1,52000,70037500.88,
15689,52000,3.06E+150,[1]
26140,52000,1.72E+150,[1]
13884,52000,444666.6398,[1]
39,-1,,[1]
-1,2993,39599466180,
25906,52000,981172.211,[1]
26413,52000,4.82E+148,[1]
-1,2521,34258209729,
-1,52000,60442333.31,[1]
-1,2861,38639233959,
9921,2926,21569566070,
25999,52000,2388121.687,[1]
11953,52000,54944248.69,[1]
-1,52000,2575411.085,
17971,-1,,[1]
-1,52000,65921251.93,[1]
28436,-1,,[1]
9021,2777,21980310653,
26287,52000,57912208.38,[1]
26112,52000,921343.8866,[1]
8984,2901,20514340870,
484,52000,57300465.48,[1]
-1,52000,2.63E+150,
21773,-1,,[1]
18815,-1,,[1]
28865,52000,54049536.44,[1]
15880,-1,,[1]
-1,52000,65201712.75,
25811,52000,8174.531649,[1]
26276,-1,,[1]
-1,2881,35362350166,
16189,52000,2555906.649,[1]
-1,52000,4963195.572,[1]
-1,52000,65936836.28,[1]
25950,-1,,[1]
18765,52000,5204416.97,[1]
4529,-1,,[1]
-1,52000,2440505.192,[1]
-1,52000,70892616.46,[1]
-1,52000,5.51E+150,[1]
13033,-1,,[1]
18426,52000,69287877.72,[1]
15633,-1,,[1]
13120,52000,9.28E+145,[1]
38792,-1,,[1]
11634,2569,24254962344,
44787,52000,2733697.325,[1]
43853,52000,1015420.576,[1]
26134,-1,,[0]
15378,-1,,[1]
242,-1,,[1]
-1,2613,33852494789,
26055,52000,2457360.511,[1]
-1,1741,1.46E+11,
-1,52000,8.55E+144,[1]
26016,52000,58296692.93,[1]
26258,52000,72249674.39,[1]
-1,2669,41101230764,
8985,2825,26210612818,
250,52000,4.29E+150,[1]
40501,52000,914703.8743,[1]
97,52000,64377125.85,[1]
20390,52000,1.97E+147,[1]
9912,52000,4.66E+142,[1]
3592,-1,,[1]
-1,52000,519253.1836,[1]
-1,52000,1.45E+150,
26522,52000,2528559.185,[1]
28366,52000,2.37E+150,[1]
484,52000,2774125.85,[1]
-1,52000,66497238.79,[1]
-1,52000,4687143.692,[1]
9021,52000,1067362.375,
25742,-1,,[1]
15075,52000,66541340.84,[1]
26145,52000,62080055.21,[1]
15784,-1,,[1]
48385,52000,4993520.299,[1]
-1,52000,5893111.839,[1]
-1,-1,,[1]
10162,52000,5802686.699,[1]
9019,2817,19891899326,
26136,-1,,[1]
8986,-1,,[1]
14129,52000,2.33E+149,[1]
17605,52000,2421271.509,[1]
9021,2825,27138602336,
-1,52000,4644160.485,[1]
-1,52000,1.39E+147,[1]
-1,52000,1.45E+149,[0]
26837,52000,4910383.378,[0]
-1,52000,64729915.73,[1]
26158,52000,2606018.962,[1]
15186,-1,,[1]
-1,2833,44215250237,
-1,2685,41766582176,
52486,52000,2572930.937,[1]
-1,52000,72097407.3,[1]
11246,52000,74261743.38,[1]
-1,52000,5411632.689,
40,52000,2453619.526,
22860,52000,5681540.43,[1]
13800,-1,,[1]
26120,52000,2498545.633,[1]
17972,52000,2500379.759,
26308,52000,69148658.85,[0]
26166,52000,2525994.005,[1]
15320,52000,5.42E+149,[1]
-1,2849,34980745514,
26304,52000,2530000.753,[1]
12693,-1,,[1]
44534,52000,66294756.23,[1]
10616,52000,5016384.757,[1]
25922,-1,,[1]
52222,52000,4641102.881,[1]
-1,52000,4.93E+146,
52412,52000,71031252.72,[1]
28825,-1,,[1]
21900,-1,,[1]
12638,2865,41350565583,
-1,2693,32336224152,
15914,52000,1.28E+150,[1]
36682,52000,69349462.98,[1]
12843,52000,2658524.763,[1]
37209,-1,,[1]
-1,2949,32540270427,
9048,52000,5073244.626,[0]
15799,52000,57520741.41,[1]
-1,52000,58527464.25,[1]
32712,52000,2565275.926,[1]
-1,52000,2821195.234,
17871,52000,1059089.196,[1]
3084,52000,1176.342948,[1]
-1,2922,43999700326,
242,52000,67078022.06,[1]
-1,52000,71195034.25,[1]
9022,52000,1.05E+148,
18887,-1,,[0]
23596,-1,,[1]
-1,52000,925734.9668,[1]
15388,52000,71272858.47,[1]
26102,-1,,[1]
22950,52000,495659.816,[1]
-1,52000,931134.6657,[1]
25857,52000,9.22E+150,[1]
2482,52000,6007540.221,[1]
18355,-1,,[1]
-1,2713,36768194021,
14599,-1,,[1]
-1,2657,30726938592,
26367,52000,2729494.929,[0]
15377,3046,33060184866,
2940,52000,2449955.963,[1]
-1,52000,72169258.13,[1]
-1,52000,78535026.41,[1]
40224,-1,,[1]
14147,52000,1043723.114,[1]
514,52000,5437223.306,[1]
19597,52000,3.03E+149,
18803,-1,,[1]
12072,2986,32046228309,
10127,52000,65897403,[1]
10639,-1,,[1]
26003,52000,70046533.47,[1]
11612,-1,,[1]
26176,52000,5.96E+148,[1]
9020,2921,33096515099,
-1,52000,59759651.48,[1]
15580,52000,71507415.02,[1]
9017,2889,21175559965,
11093,52000,5140375.582,[1]
28202,52000,6.46E+144,[1]
-1,52000,8.84E+150,[1]
12754,52000,2368458.031,[1]
32810,-1,,[1]
26079,52000,70147795.95,[1]
13477,52000,66522033.98,[1]
-1,52000,8.44E+146,[1]
-1,52000,62582556.09,
39918,52000,1007782.672,[1]
6743,52000,54199659.81,[1]
15137,52000,1016876.352,[1]
-1,52000,2650181.958,[1]
-1,2813,48868992522,
-1,52000,,[1]
4700,-1,,[1]
-1,52000,5089176.133,
26123,52000,2524639.095,[1]
15004,-1,,[1]
16205,52000,68769781.57,[1]
12604,52000,55983374.58,[1]
-1,52000,2553048.62,
-1,52000,4870176.562,[1]
17194,-1,,[1]
242,52000,4725873.116,[1]
40060,52000,998669.854,[1]
-1,52000,55719695.78,[1]
242,52000,2.93E+150,[1]
32251,52000,68572003.02,[1]
-1,52000,65320278.31,[1]
26213,52000,992491.2545,[1]
15015,52000,483.4756623,[1]
-1,52000,5688621.349,[1]
48101,52000,2468499.448,[1]
26152,52000,2771098.72,[1]
-1,3002,41790384768,
-1,2701,37887713882,
36635,52000,73174074.11,[1]
26090,52000,5499627.297,[1]
524,52000,920655.4255,[1]
40199,52000,69579528.37,[0]
28083,52000,517305.3752,[1]
19315,-1,,[1]
17650,52000,4.68E+150,[1]
12213,52000,64100876.18,[1]
-1,2982,40285208108,
16417,52000,62221927.62,[1]
26213,52000,997318.3733,[0]
484,-1,,[1]
26078,52000,71108332.14,[1]
-1,2569,29287574212,
-1,2801,45199754953,
26463,-1,,[1]
26479,52000,56426250.63,[1]
244,-1,,[1]
-1,3110,35104656281,
52139,-1,,[1]
-1,2710,22422465521,
9027,52000,71689070.8,
-1,52000,2644327.616,
14672,-1,,[1]
-1,52000,73515362.09,[1]
23549,-1,,[1]
-1,52000,5138638.191,[1]
10663,2998,20420504577,
14641,2653,38955235249,
12785,52000,73580046.82,[1]
26566,-1,,[1]
26079,52000,7.86E+149,[1]
39,3054,27538873196,
26229,52000,54248133.73,[1]
26113,52000,5143467.176,[1]
26148,-1,,[1]
13809,52000,3.78E+149,[1]
26488,52000,74269255.66,[1]
-1,52000,72561659.55,[1]
-1,2621,31582164402,
10801,52000,69776539.2,[1]
26255,-1,,[1]
16083,52000,61035383.48,[1]
25867,52000,2549868.465,[1]
14966,52000,2334532.316,[1]
32823,52000,75444291.36,[1]
8986,2809,27059935450,
488,52000,2.93E+150,[1]
16453,52000,2372223.334,[1]
13960,-1,,[1]
2457,52000,5699495.811,[1]
26020,-1,,[0]
13964,52000,6.00E+149,[1]
-1,52000,511760.4928,[1]
11242,2742,35730785545,
242,52000,2.44E+147,[1]
25937,52000,69998597.55,[1]
-1,782,72386931403,
-1,52000,2545874.347,[1]
11656,52000,4.43E+148,[1]
12268,52000,73702779.36,[1]
10293,52000,5901326.08,[1]
18502,-1,,[1]
14642,-1,,[1]
10765,52000,1.47E+150,[1]
36496,52000,60515356.13,[1]
15063,52000,64426765.59,[1]
-1,52000,1069731.257,[1]
-1,2581,30575039528,
-1,52000,69407435.62,[1]
26129,-1,,[0]
16436,52000,486067.0308,
-1,52000,6.74E+148,[1]
19632,-1,,[1]
15849,52000,71762916.47,[1]
17193,52000,5617787.175,[1]
-1,52000,54368813.25,[1]
15015,52000,2399446.924,[1]
-1,52000,2429369.177,
19469,52000,994363.9986,[1]
28893,52000,59326845.98,[1]
15900,52000,57975575.58,[1]
-1,52000,66046776.36,[1]
26168,52000,1022846.881,[1]
-1,52000,3.44E+150,
-1,2873,35621828512,
26162,52000,7.52E+142,[1]
10178,52000,75036274.64,[1]
16726,52000,56333253.29,[1]
21943,52000,61545444.87,[1]
52977,-1,,[1]
-1,52000,57784531.59,
26021,52000,463692.5602,[1]
25931,52000,68307930.1,[1]
35983,52000,70279732.32,[1]
16030,52000,62155659.19,[1]
-1,52000,57406476.12,[1]
-1,2761,40053819828,
-1,52000,58655830.85,[1]
26133,52000,67661970.5,[1]
19386,52000,1073211.576,[1]
9021,2857,23807623422,
10786,-1,,[1]
36711,52000,5798313.208,[1]
32633,52000,5.32E+150,[1]
-1,52000,5926603.152,[1]
9017,52000,2488084.963,[0]
26307,-1,,[1]
15367,-1,,[1]
-1,52000,4.91E+148,[1]
48690,52000,71157760.33,[1]
10779,2970,21861809396,
-1,52000,1041478.183,[1]
16692,52000,72271125.2,[0]
11292,52000,3.91E+150,[1]
52659,52000,63727053.54,[1]
16065,52000,62335946.66,[1]
-1,2773,44693273459,
16624,2930,23599274907,
13635,2706,26184871007,
-1,52000,74731945.62,[1]
25837,52000,55582601.91,[1]
26278,52000,5220154.046,[1]
-1,2742,38125424052,
-1,2946,41928002603,
15277,3014,27059901882,
11487,52000,2.01E+150,[1]
-1,52000,5770444.164,[1]
14616,2757,39467866994,
26071,-1,,[1]
-1,412,0.111085307,
26086,52000,67643652.94,[1]
8985,52000,64098871.99,[1]
26261,52000,6.79E+146,[1]
52343,-1,,[1]
496,52000,55432386.34,[1]
-1,2797,45406594767,
13455,52000,62424436.52,[1]
242,52000,61107605.96,[1]
-1,52000,510001.0311,[1]
-1,52000,2442466.09,[0]
26043,52000,56640161.92,[1]
-1,52000,2665170.617,[1]
18336,52000,2.86E+149,[1]
272,52000,513762.717,[1]
26145,52000,5043629.304,[1]
13500,-1,,[1]
17521,-1,,[1]
12448,-1,,[1]
-1,3050,40005517443,
18784,52000,2490522.252,[1]
19102,52000,921278.801,[1]
26318,52000,55351210.85,[1]
15060,52000,4.62E+149,[1]
-1,52000,54117467.61,[1]
-1,52000,1.38E+150,[1]
15227,-1,,[1]
26320,52000,5335057.415,[1]
25971,52000,68082490.87,[1]
26108,52000,2733944.009,[1]
7175,52000,67340803.78,[1]
26096,52000,68425904.82,[1]
-1,52000,78718760.55,[1]
491,-1,,[1]
17075,-1,,[1]
26183,-1,,[1]
-1,52000,71985992.01,[1]
-1,2982,35943122308,
25820,-1,,[1]
18199,52000,2324638.733,[1]
-1,52000,4.85E+149,[1]
9018,52000,54598521.86,
-1,52000,1033079.881,
9021,52000,1.20E+150,[1]
250,-1,,[1]
-1,52000,64075559.2,
-1,2718,24662508941,
10523,52000,1032858.769,[1]
-1,52000,58085991.43,[1]
17447,52000,74186157.95,[1]
26272,52000,,[1]
522,52000,2726917.979,[1]
-1,2977,41670696154,
26555,52000,57631807.29,[1]
15345,3086,30186854089,
26155,52000,921535.716,[1]
-1,52000,2616546.149,[1]
10760,-1,,[1]
13551,52000,5.62E+149,[1]
26126,52000,,[1]
-1,52000,62362281.26,[1]
11474,52000,75579262.09,[1]
-1,52000,4843206.63,[1]
28403,52000,70553104.76,[1]
10826,-1,,[1]
-1,52000,73754737.41,[1]
252,52000,467273.7924,[1]
48331,52000,72839402.25,[1]
12063,-1,,[1]
19624,52000,60751294.72,[1]
-1,52000,918437.7032,[1]
244,52000,56610501.41,[1]
6422,52000,1056374.653,[1]
15312,3002,20137050969,
25978,-1,,[1]
26280,52000,1.74E+144,[1]
-1,-1,,[1]
15348,3054,32292016488,
26140,52000,486329.9128,[1]
52714,-1,,[1]
-1,2873,37101019765,
-1,52000,63953585.54,[1]
45061,-1,,[1]
16855,52000,58692206.92,
17284,52000,1012949.071,[1]
8989,2841,20717614281,
-1,2926,41546763386,
10792,52000,2.60E+149,[1]
17973,52000,66565215.18,
26119,52000,57516137.66,[1]
26198,52000,983002.8613,[1]
26144,52000,61616764.33,[1]
12586,52000,1.31E+149,
-1,52000,1139879.386,[1]
-1,52000,55894187.23,
26264,52000,63518259.37,[1]
22655,-1,,[1]
23373,-1,,[1]
12926,52000,63043234.55,[1]
250,52000,65604301.31,[1]
36486,52000,67224094.21,[1]
-1,52000,1.09E+150,[1]
13916,52000,74588087.39,[1]
-1,2797,39104526937,
8983,52000,60106738.63,[1]
3810,52000,1.58E+150,[1]
16838,52000,71770979.93,[1]
9020,52000,1.94E+146,
-1,52000,939703.1989,
12233,-1,,[1]
-1,52000,960643.4068,
17448,52000,67143761.71,[1]
11265,-1,,[0]
-1,52000,4.19E+149,[1]
26181,52000,2603723.892,[1]
-1,52000,67788880.93,[1]
9015,-1,,[0]
23096,52000,1053617.013,[1]
26282,52000,1.60E+148,[1]
32762,-1,,[1]
-1,2966,39244291783,
16471,52000,2513579.115,[1]
25805,-1,,[1]
-1,2718,34306714179,
17521,52000,78112545.97,[1]
-1,3146,35112452355,
48568,52000,66708331.13,[1]
-1,52000,4917108.231,[1]
4052,52000,58482216.41,[1]
-1,2818,33906537898,
40446,52000,59602972.93,[1]
16413,2857,30748541080,
26457,52000,2534411.838,[1]
16753,52000,56641910.37,[1]
242,52000,1.42E+146,[0]
26224,52000,64225128.15,[1]
26125,52000,5486732.137,[1]
52672,52000,799.018355,[1]
6716,52000,1.23E+148,[1]
32635,52000,5056971.149,[1]
26583,52000,5768894.865,[1]
-1,52000,66982836.7,[0]
-1,52000,61771724.67,
13140,52000,2703886.993,[1]
9016,52000,67251029.8,[1]
32781,52000,65667626.72,[1]
16782,-1,,[1]
11380,52000,1063106.079,[1]
19772,52000,68777134.48,[1]
19867,-1,,[1]
-1,2853,43422145910,
15905,-1,,[1]
-1,52000,2772173.352,[1]
13822,52000,2618816.468,[1]
19939,2757,21805442755,
40346,52000,5.13E+149,[1]
-1,52000,4774645.511,
17973,52000,5.74E+148,
19070,52000,56595554.94,[1]
-1,52000,71979911.25,[1]
-1,52000,66829727.57,
-1,52000,2511197.703,
-1,2829,44986668557,
10070,-1,,[1]
13863,52000,2526317.878,[1]
26259,-1,,[1]
52626,-1,,[1]
18117,52000,2612943.939,[1]
12844,52000,1.57E+148,[1]
-1,52000,74735875.98,[0]
-1,52000,3.88E+148,[1]
8986,52000,64365043.58,[1]
-1,52000,1.02E+150,[1]
26345,52000,55665871.65,[1]
-1,616,0.262621426,
9018,2757,21643309445,
10827,52000,1002459.514,[1]
44249,52000,55430500.43,[1]
18585,52000,61366286.84,[1]
19193,52000,2328378.977,[1]
-1,52000,626.6932537,[1]
26114,52000,4788829.282,[1]
4702,52000,1112591.945,[1]
-1,2577,30418703640,
26517,-1,,[1]
18677,-1,,[1]
-1,2794,43061418621,
490,52000,6131014.477,[1]
-1,52000,488265.6337,[1]
3072,52000,65072927.68,[1]
-1,52000,74540027.21,[1]
24849,52000,487031.9579,[1]
26016,-1,,[1]
18619,-1,,[1]
40592,52000,5793634.479,[1]
-1,52000,2810506.888,
19277,52000,4.40E+148,[1]
26345,52000,63998251.69,[1]
26178,52000,71616166.49,[1]
26273,-1,,[1]
-1,3062,33270930763,
32566,-1,,[1]
26260,-1,,[1]
-1,3010,31573228952,
35973,52000,73562267.79,[1]
4693,-1,,[1]
10584,-1,,[1]
18260,52000,71436438.06,[1]
26177,52000,67382352.42,[1]
26086,52000,55608921.02,[0]
12463,52000,1024230.923,[1]
25885,52000,71328354.65,[1]
26074,52000,5767178.916,[1]
14589,-1,,[1]
8988,2745,18163685332,
14099,52000,509314.8097,[1]
44648,52000,509815.3043,[1]
8983,52000,63046567.56,[1]
26073,-1,,[1]
15138,-1,,[1]
-1,52000,2728224.077,[1]
26275,52000,2514441.04,[1]
18484,-1,,[1]
25903,-1,,[1]
26516,52000,64403710.41,[1]
-1,2617,30377946350,
19155,2737,44452995324,
47983,52000,1.30E+150,[1]
25743,52000,2715849.368,[1]
16622,-1,,[1]
36510,52000,65389660.67,[1]
40515,52000,57806677.47,[1]
33074,52000,990451.7062,[1]
-1,52000,1.70E+149,
26071,52000,7.62E+148,[1]
25971,-1,,[1]
14907,52000,74147515.17,[1]
16548,-1,,[1]
11180,2865,35884961531,
9021,52000,801.5960398,
14505,-1,,[1]
26068,52000,926944.7481,[1]
25792,-1,,[1]
-1,2869,38408200082,
26020,52000,61222168.31,[1]
14097,52000,2709783.252,[1]
10979,52000,2.55E+147,[1]
15922,2857,17994348785,
32775,52000,72261746.54,[0]
13521,52000,1001577.402,[1]
8985,52000,2459847.675,[1]
47880,-1,,[1]
484,52000,1080829.645,[1]
-1,2793,41592632680,
-1,52000,480100.3774,[1]
26315,52000,7.08E+150,[1]
484,52000,5463583.36,[0]
17173,-1,,[1]
26250,52000,2483440.421,[1]
-1,52000,5057184.803,[1]
13746,-1,,[1]
13442,52000,64256564.88,[1]
-1,52000,2.57E+147,[1]
25981,52000,57882836.7,[1]
-1,52000,5496625.27,[1]
-1,52000,71513073.26,
-1,2834,33780424348,
15150,52000,2544119.794,[1]
-1,52000,2635949.794,
26232,52000,2697848.629,[1]
17053,-1,,[1]
44338,52000,5394872.754,[1]
-1,52000,61910723.28,[1]
245,52000,531741.0617,[1]
12578,3042,17396580571,
26149,52000,70840330.09,[1]
48327,52000,62213184.73,[1]
13633,-1,,[1]
-1,2733,43376815361,
10004,52000,5396647.799,[1]
17727,2858,21695055940,
14600,52000,5911690.606,[1]
1802,52000,71072208.31,[1]
26271,52000,1081999.859,[1]
21179,52000,1052109.747,[1]
-1,2909,34194628298,
16964,52000,69723438.14,[1]
245,52000,1053277.054,[1]
-1,2857,35020209928,
-1,52000,57225314.94,[1]
-1,52000,5434616.086,
-1,52000,496638.1527,[1]
28922,52000,2676062.876,[1]
40752,-1,,[1]
26262,52000,71370749.54,[1]
13479,-1,,[1]
9040,52000,2462510.946,[0]
26102,-1,,[1]
-1,52000,960115.799,[1]
26225,-1,,[1]
36430,52000,63358272.55,[1]
18524,52000,59913633.86,[1]
-1,2790,34563317931,
17929,-1,,[1]
-1,52000,64208021.11,[1]
40504,52000,1.13E+150,[1]
-1,2885,39003169728,
22401,52000,2423230.936,[1]
48193,52000,7.84E+145,[1]
26269,52000,71494217.02,[1]
44668,52000,66032670.09,[1]
4690,52000,72337669.89,[1]
48186,52000,79258802.75,[1]
26227,52000,66043084.93,[1]
12640,52000,474570.3225,[1]
16672,2793,28498513685,
16719,52000,2355492.981,[1]
25919,52000,1045009.102,[1]
9013,-1,,[0]
25860,52000,75801511.01,[1]
13833,52000,5.31E+149,[1]
-1,52000,510679.0231,[1]
26049,52000,66763742.07,[1]
40466,52000,1038989.112,[1]
16332,52000,2376577.092,[1]
10468,52000,6034250.191,[1]
-1,52000,1058445.15,[1]
19969,52000,1.68E+150,
12028,52000,64021589.04,[1]
-1,52000,2421608.858,[1]
-1,2610,19053747255,
51490,52000,69276824.18,[1]
25997,52000,68633430.68,[1]
11714,2929,32432945810,
26108,52000,60647490.54,[1]
14501,-1,,[1]
-1,52000,69721698.33,
26251,-1,,[1]
52225,-1,,[1]
26085,52000,54859941.38,[1]
9021,2929,21476843781,
17160,-1,,[1]
22213,-1,,[1]
26288,-1,,[1]
14045,52000,71166205.45,[1]
26108,52000,5473828.806,[1]
25928,52000,2560645.279,[1]
-1,2134,1.19E+11,
-1,2841,37708886836,
10864,52000,2502200.876,[0]
44570,-1,,[1]
-1,52000,2612143.243,[1]
12385,52000,5319895.426,[1]
10528,52000,2611199.599,[1]
23348,52000,2.57E+150,[1]
-1,2758,37353542676,
40483,52000,71970149.37,[1]
26309,52000,955513.8032,[1]
-1,52000,75756222.11,[1]
25806,52000,5.24E+148,[1]
-1,52000,468.0459955,[1]
26280,52000,62584669.33,[1]
10799,52000,2467040.374,[1]
13234,52000,2.27E+149,[1]
248,52000,59922389.47,[1]
11148,52000,2438893.487,[1]
-1,52000,9.13E+148,[1]
40349,52000,9.39E+147,[1]
12221,52000,1.45E+147,[1]
-1,52000,2423207.611,[1]
-1,52000,7.61E+148,
-1,2761,46043921124,
25958,-1,,[1]
-1,52000,2507999.511,[1]
9016,2745,20543305167,
-1,52000,6068939.881,[1]
-1,52000,71939678.19,[1]
48708,-1,,[1]
28480,52000,5097508.429,[1]
242,52000,5698785.049,[1]
16715,52000,8.00E+149,[1]
44139,52000,63886594.22,[1]
32726,52000,5607027.21,[1]
14735,2705,38427754571,
-1,2541,24455544425,
-1,52000,472493.7662,[1]
25732,-1,,[1]
12658,-1,,[0]
242,52000,2396332.488,[1]
26123,52000,5854950.719,[1]
38065,52000,58053131.99,[1]
-1,52000,56375372.28,
-1,52000,5328909.359,[1]
19627,2593,29259313792,
19389,52000,74008419.28,[1]
-1,2886,49046961644,
-1,52000,5690113.2,[1]
26289,52000,5410660.27,[1]
8990,52000,948716.4702,
242,52000,2530843.41,[1]
11417,52000,57975001.51,[1]
11810,52000,70868954.89,[1]
37278,52000,1100071.367,[1]
-1,2937,41329816723,
40746,-1,,[1]
-1,52000,5009780.414,[1]
18865,52000,3.57E+148,[1]
-1,52000,2625160.073,[1]
-1,52000,58239879.5,[1]
44513,52000,466.2343667,[1]
12020,52000,522140.6696,[1]
-1,-1,,[1]
52334,52000,957083.2058,[1]
-1,52000,72024702.15,[1]
40527,52000,454467.339,[1]
11560,-1,,[1]
26256,52000,60679536.92,[1]
26495,52000,69006173.2,[1]
52801,52000,5192175.44,[1]
15343,2926,26508889964,
18371,52000,2.64E+150,[1]
13587,-1,,[1]
242,-1,,[1]
13810,52000,2678862.642,[1]
13825,52000,2600046.252,[1]
-1,52000,5208317.48,
-1,3154,33054790948,
15453,52000,73780347.2,
13350,-1,,[1]
36635,52000,65338180.63,[1]
19059,3006,39117288843,
-1,52000,2.53E+149,[1]
18009,52000,1.86E+144,[1]
13433,52000,,[1]
21905,52000,994685.9878,[1]
26312,52000,2470047.945,[1]
-1,52000,58517796.22,[1]
26182,52000,78184305.64,[1]
13732,52000,1.84E+149,[1]
17980,52000,68080531.97,[1]
26052,52000,1000425.864,[1]
11000,52000,64440340.64,[0]
13925,52000,2696260.372,[1]
26452,-1,,[1]
-1,52000,3.31E+149,[1]
4688,52000,5471761.547,[1]
18011,3014,23433922562,
28547,-1,,[1]
-1,52000,6030125.534,[1]
25771,-1,,[1]
4693,52000,1.23E+150,[1]
242,52000,73822514.41,[1]
16004,52000,5.10E+150,
-1,2954,51618427179,
11412,-1,,[0]
-1,52000,3.64E+148,
26217,-1,,[1]
-1,52000,2.24E+148,
242,52000,2493382.89,[1]
25866,-1,,[1]
25885,52000,486002.5177,[0]
15261,-1,,[1]
21743,52000,69676206.71,[1]
-1,320,0.133379307,
-1,52000,59664997.05,[1]
26014,-1,,[1]
-1,52000,5255190.34,[1]
48417,52000,3.91E+142,[1]
9887,52000,994331.3125,[1]
26048,52000,56961307.72,[1]
-1,52000,70764009.77,[1]
6131,52000,67075389.9,[1]
515,52000,71252548.71,[1]
-1,52000,5066551.506,[1]
26311,-1,,[1]
17928,52000,2654012.9,[1]
-1,52000,2594348.765,
33097,-1,,[1]
16921,-1,,[1]
26301,52000,2517133.859,[1]
21428,52000,933484.4071,[1]
-1,52000,2743621.681,[1]
-1,-1,,[1]
